Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,386,2588.52,2021-10-06 00:00:00,999168.72,831.2800000000279
Sell,386,2586.87,2021-10-06 00:15:00,998531.82,999363.1
Buy,386,2586.87,2021-10-06 00:15:00,998531.82,831.2800000000279
Sell,386,2579.43,2021-10-06 00:30:00,995659.98,996491.26
Buy,386,2579.43,2021-10-06 00:30:00,995659.98,831.2800000000279
Sell,386,2579.43,2021-10-06 00:45:00,995659.98,996491.26
Buy,386,2579.43,2021-10-06 00:45:00,995659.98,831.2800000000279
Sell,386,2596.05,2021-10-06 01:00:00,1002075.3,1002906.5800000001
Buy,386,2596.05,2021-10-06 01:00:00,1002075.3,831.2800000000279
Sell,386,2613.15,2021-10-06 01:15:00,1008675.9,1009507.18
Buy,386,2613.15,2021-10-06 01:15:00,1008675.9,831.2800000000279
Sell,386,2584.05,2021-10-06 01:30:00,997443.3,998274.5800000001
Buy,386,2584.05,2021-10-06 01:30:00,997443.3,831.2800000000279
Sell,386,2569.47,2021-10-06 01:45:00,991815.4199999999,992646.7
Buy,386,2569.47,2021-10-06 01:45:00,991815.4199999999,831.2800000000279
Sell,386,2566.64,2021-10-06 02:15:00,990723.0399999999,991554.32
Buy,386,2566.64,2021-10-06 02:15:00,990723.0399999999,831.2800000000279
Sell,386,2564.38,2021-10-06 02:30:00,989850.68,990681.9600000001
Buy,386,2564.38,2021-10-06 02:30:00,989850.68,831.2800000000279
Sell,386,2572.29,2021-10-06 02:45:00,992903.94,993735.22
Buy,386,2572.29,2021-10-06 02:45:00,992903.94,831.2800000000279
Sell,386,2586.91,2021-10-06 03:00:00,998547.2599999999,999378.5399999999
Buy,386,2586.91,2021-10-06 03:00:00,998547.2599999999,831.2800000000279
Sell,386,2578.52,2021-10-06 03:15:00,995308.72,996140.0
Buy,386,2578.52,2021-10-06 03:15:00,995308.72,831.2800000000279
Sell,386,2567.98,2021-10-06 03:30:00,991240.28,992071.56
Buy,386,2567.98,2021-10-06 03:30:00,991240.28,831.2800000000279
Sell,386,2562.56,2021-10-06 03:45:00,989148.16,989979.4400000001
Buy,386,2562.56,2021-10-06 03:45:00,989148.16,831.2800000000279
Sell,386,2613.15,2021-10-06 04:00:00,1008675.9,1009507.18
Buy,386,2613.15,2021-10-06 04:00:00,1008675.9,831.2800000000279
Sell,386,2557.5,2021-10-06 04:15:00,987195.0,988026.28
Buy,386,2557.5,2021-10-06 04:15:00,987195.0,831.2800000000279
Sell,386,2540.13,2021-10-06 04:30:00,980490.18,981321.4600000001
Buy,386,2540.13,2021-10-06 04:30:00,980490.18,831.2800000000279
Sell,386,2551.66,2021-10-06 05:00:00,984940.7599999999,985772.0399999999
Buy,386,2551.66,2021-10-06 05:00:00,984940.7599999999,831.2800000000279
Sell,386,2530.35,2021-10-06 05:15:00,976715.1,977546.38
Buy,386,2530.35,2021-10-06 05:15:00,976715.1,831.2800000000279
Sell,386,2533.32,2021-10-06 05:30:00,977861.52,978692.8
Buy,386,2533.32,2021-10-06 05:30:00,977861.52,831.2800000000279
Sell,386,2536.79,2021-10-06 05:45:00,979200.94,980032.22
Buy,386,2536.79,2021-10-06 05:45:00,979200.94,831.2800000000279
Sell,386,2526.55,2021-10-06 06:00:00,975248.3,976079.5800000001
Buy,386,2526.55,2021-10-06 06:00:00,975248.3,831.2800000000279
Sell,386,2537.65,2021-10-06 06:15:00,979532.9,980364.18
