Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,386,2588.52,2021-10-06 00:00:00,999168.72,831.2800000000279
Sell,386,2586.87,2021-10-06 00:15:00,998531.82,999363.1
Buy,386,2586.91,2021-10-06 03:00:00,998547.2599999999,815.8400000000838
Sell,386,2578.52,2021-10-06 03:15:00,995308.72,996124.56
Buy,387,2567.98,2021-10-06 03:30:00,993808.26,2316.3000000000466
Sell,387,2562.56,2021-10-06 03:45:00,991710.72,994027.02
Buy,387,2562.56,2021-10-06 03:45:00,991710.72,2316.3000000000466
Sell,387,2613.15,2021-10-06 04:00:00,1011289.05,1013605.3500000001
Buy,387,2613.15,2021-10-06 04:00:00,1011289.05,2316.3000000000466
Sell,387,2557.5,2021-10-06 04:15:00,989752.5,992068.8
Buy,387,2557.5,2021-10-06 04:15:00,989752.5,2316.3000000000466
Sell,387,2540.13,2021-10-06 04:30:00,983030.31,985346.6100000001
Buy,387,2540.13,2021-10-06 04:30:00,983030.31,2316.3000000000466
Sell,387,2551.66,2021-10-06 05:00:00,987492.4199999999,989808.72
Buy,387,2551.66,2021-10-06 05:00:00,987492.4199999999,2316.3000000000466
Sell,387,2530.35,2021-10-06 05:15:00,979245.45,981561.75
Buy,387,2530.35,2021-10-06 05:15:00,979245.45,2316.3000000000466
Sell,387,2533.32,2021-10-06 05:30:00,980394.8400000001,982711.1400000001
Buy,387,2533.32,2021-10-06 05:30:00,980394.8400000001,2316.3000000000466
Sell,387,2536.79,2021-10-06 05:45:00,981737.73,984054.03
Buy,387,2536.79,2021-10-06 05:45:00,981737.73,2316.3000000000466
Sell,387,2526.55,2021-10-06 06:00:00,977774.8500000001,980091.1500000001
Buy,385,2543.97,2021-10-06 07:15:00,979428.45,662.7000000001863
Sell,385,2539.69,2021-10-06 07:30:00,977780.65,978443.3500000002
Buy,385,2539.69,2021-10-06 07:30:00,977780.65,662.7000000001863
Sell,385,2547.14,2021-10-06 07:45:00,980648.8999999999,981311.6000000001
Buy,385,2547.14,2021-10-06 07:45:00,980648.8999999999,662.7000000001863
Sell,385,2542.92,2021-10-06 08:00:00,979024.2000000001,979686.9000000003
Buy,385,2542.92,2021-10-06 08:00:00,979024.2000000001,662.7000000001863
Sell,385,2539.65,2021-10-06 08:15:00,977765.25,978427.9500000002
Buy,385,2539.65,2021-10-06 08:15:00,977765.25,662.7000000001863
Sell,385,2515.51,2021-10-06 08:30:00,968471.3500000001,969134.0500000003
Buy,385,2515.51,2021-10-06 08:30:00,968471.3500000001,662.7000000001863
Sell,385,2511.87,2021-10-06 08:45:00,967069.95,967732.6500000001
Buy,372,2597.91,2021-10-06 10:15:00,966422.5199999999,1310.1300000002375
Sell,372,2589.96,2021-10-06 10:30:00,963465.12,964775.2500000002
Buy,372,2589.96,2021-10-06 10:30:00,963465.12,1310.1300000002375
Sell,372,2575.99,2021-10-06 10:45:00,958268.2799999999,959578.4100000001
Buy,372,2575.99,2021-10-06 10:45:00,958268.2799999999,1310.1300000002375
Sell,372,2580.83,2021-10-06 11:00:00,960068.76,961378.8900000002
Buy,372,2580.83,2021-10-06 11:00:00,960068.76,1310.1300000002375
Sell,372,2566.84,2021-10-06 11:15:00,954864.4800000001,956174.6100000003
Buy,372,2566.84,2021-10-06 11:15:00,954864.4800000001,1310.1300000002375
Sell,372,2569.57,2021-10-06 11:30:00,955880.04,957190.1700000003
