Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,386,2588.52,2021-10-06 00:00:00,999168.72,831.2800000000279
Sell,386,2586.87,2021-10-06 00:15:00,998531.82,999363.1
Buy,382,2613.15,2021-10-06 01:15:00,998223.3,1139.7999999999302
Sell,382,2584.05,2021-10-06 01:30:00,987107.1000000001,988246.9
Buy,382,2584.05,2021-10-06 01:30:00,987107.1000000001,1139.7999999999302
Sell,382,2569.47,2021-10-06 01:45:00,981537.5399999999,982677.3399999999
Buy,379,2586.91,2021-10-06 03:00:00,980438.8899999999,2238.4499999999534
Sell,379,2578.52,2021-10-06 03:15:00,977259.08,979497.5299999999
Buy,379,2578.52,2021-10-06 03:15:00,977259.08,2238.4499999999534
Sell,379,2567.98,2021-10-06 03:30:00,973264.42,975502.87
Buy,373,2613.15,2021-10-06 04:00:00,974704.9500000001,797.9199999999255
Sell,373,2557.5,2021-10-06 04:15:00,953947.5,954745.4199999999
Buy,374,2551.66,2021-10-06 05:00:00,954320.84,424.5799999999581
Sell,374,2530.35,2021-10-06 05:15:00,946350.9,946775.48
Buy,374,2530.35,2021-10-06 05:15:00,946350.9,424.5799999999581
Sell,374,2533.32,2021-10-06 05:30:00,947461.68,947886.26
Buy,373,2536.79,2021-10-06 05:45:00,946222.67,1663.5899999999674
Sell,373,2526.55,2021-10-06 06:00:00,942403.15,944066.74
Buy,372,2533.08,2021-10-06 06:30:00,942305.76,1760.9799999999814
Sell,372,2539.45,2021-10-06 06:45:00,944675.3999999999,946436.3799999999
Buy,371,2547.04,2021-10-06 07:00:00,944951.84,1484.5399999999208
Sell,371,2543.97,2021-10-06 07:15:00,943812.8699999999,945297.4099999998
Buy,371,2543.97,2021-10-06 07:15:00,943812.8699999999,1484.5399999999208
Sell,371,2539.69,2021-10-06 07:30:00,942224.99,943709.5299999999
Buy,370,2547.14,2021-10-06 07:45:00,942441.7999999999,1267.7299999999814
Sell,370,2542.92,2021-10-06 08:00:00,940880.4,942148.13
Buy,370,2542.92,2021-10-06 08:00:00,940880.4,1267.7299999999814
Sell,370,2539.65,2021-10-06 08:15:00,939670.5,940938.23
Buy,370,2539.65,2021-10-06 08:15:00,939670.5,1267.7299999999814
Sell,370,2515.51,2021-10-06 08:30:00,930738.7000000001,932006.43
Buy,370,2515.51,2021-10-06 08:30:00,930738.7000000001,1267.7299999999814
Sell,370,2511.87,2021-10-06 08:45:00,929391.8999999999,930659.6299999999
Buy,370,2511.87,2021-10-06 08:45:00,929391.8999999999,1267.7299999999814
Sell,370,2499.59,2021-10-06 09:00:00,924848.3,926116.03
Buy,356,2597.91,2021-10-06 10:15:00,924855.96,1260.0700000000652
Sell,356,2589.96,2021-10-06 10:30:00,922025.76,923285.8300000001
Buy,356,2589.96,2021-10-06 10:30:00,922025.76,1260.0700000000652
Sell,356,2575.99,2021-10-06 10:45:00,917052.44,918312.51
Buy,356,2575.99,2021-10-06 10:45:00,917052.44,1260.0700000000652
Sell,356,2580.83,2021-10-06 11:00:00,918775.48,920035.55
Buy,356,2580.83,2021-10-06 11:00:00,918775.48,1260.0700000000652
Sell,356,2566.84,2021-10-06 11:15:00,913795.04,915055.1100000001
Buy,356,2566.84,2021-10-06 11:15:00,913795.04,1260.0700000000652
Sell,356,2569.57,2021-10-06 11:30:00,914766.92,916026.9900000001
Buy,356,2569.57,2021-10-06 11:30:00,914766.92,1260.0700000000652
