Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,386,2586.87,2021-10-06 00:15:00,998531.82,1468.1800000000512
Sell,386,2579.43,2021-10-06 00:30:00,995659.98,997128.16
Buy,386,2579.43,2021-10-06 00:30:00,995659.98,1468.1800000000512
Sell,386,2579.43,2021-10-06 00:45:00,995659.98,997128.16
Buy,386,2579.43,2021-10-06 00:45:00,995659.98,1468.1800000000512
Sell,386,2596.05,2021-10-06 01:00:00,1002075.3,1003543.4800000001
Buy,386,2596.05,2021-10-06 01:00:00,1002075.3,1468.1800000000512
Sell,386,2613.15,2021-10-06 01:15:00,1008675.9,1010144.0800000001
Buy,386,2613.15,2021-10-06 01:15:00,1008675.9,1468.1800000000512
Sell,386,2584.05,2021-10-06 01:30:00,997443.3,998911.4800000001
Buy,386,2584.05,2021-10-06 01:30:00,997443.3,1468.1800000000512
Sell,386,2569.47,2021-10-06 01:45:00,991815.4199999999,993283.6
Buy,386,2569.47,2021-10-06 01:45:00,991815.4199999999,1468.1800000000512
Sell,386,2566.64,2021-10-06 02:15:00,990723.0399999999,992191.22
Buy,386,2566.64,2021-10-06 02:15:00,990723.0399999999,1468.1800000000512
Sell,386,2564.38,2021-10-06 02:30:00,989850.68,991318.8600000001
Buy,384,2578.52,2021-10-06 03:15:00,990151.6799999999,1167.1800000001676
Sell,384,2567.98,2021-10-06 03:30:00,986104.3200000001,987271.5000000002
Buy,377,2613.15,2021-10-06 04:00:00,985157.55,2113.9500000001863
Sell,377,2557.5,2021-10-06 04:15:00,964177.5,966291.4500000002
Buy,380,2540.13,2021-10-06 04:30:00,965249.4,1042.050000000163
Sell,380,2551.66,2021-10-06 05:00:00,969630.7999999999,970672.8500000001
Buy,380,2551.66,2021-10-06 05:00:00,969630.7999999999,1042.050000000163
Sell,380,2530.35,2021-10-06 05:15:00,961533.0,962575.0500000002
Buy,380,2526.55,2021-10-06 06:00:00,960089.0000000001,2486.0500000000466
Sell,380,2537.65,2021-10-06 06:15:00,964307.0,966793.05
Buy,380,2537.65,2021-10-06 06:15:00,964307.0,2486.0500000000466
Sell,380,2533.08,2021-10-06 06:30:00,962570.4,965056.4500000001
Buy,380,2533.08,2021-10-06 06:30:00,962570.4,2486.0500000000466
Sell,380,2539.45,2021-10-06 06:45:00,964990.9999999999,967477.0499999999
Buy,379,2547.04,2021-10-06 07:00:00,965328.16,2148.8899999998976
Sell,379,2543.97,2021-10-06 07:15:00,964164.6299999999,966313.5199999998
Buy,379,2547.14,2021-10-06 07:45:00,965366.0599999999,947.4599999998463
Sell,379,2542.92,2021-10-06 08:00:00,963766.68,964714.1399999999
Buy,379,2539.65,2021-10-06 08:15:00,962527.35,2186.789999999921
Sell,379,2515.51,2021-10-06 08:30:00,953378.29,955565.08
Buy,379,2515.51,2021-10-06 08:30:00,953378.29,2186.789999999921
Sell,379,2511.87,2021-10-06 08:45:00,951998.73,954185.5199999999
Buy,379,2511.87,2021-10-06 08:45:00,951998.73,2186.789999999921
Sell,379,2499.59,2021-10-06 09:00:00,947344.6100000001,949531.4
Buy,379,2499.59,2021-10-06 09:00:00,947344.6100000001,2186.789999999921
Sell,379,2509.0,2021-10-06 09:15:00,950911.0,953097.7899999999
Buy,379,2509.0,2021-10-06 09:15:00,950911.0,2186.789999999921
Sell,379,2546.68,2021-10-06 09:30:00,965191.72,967378.5099999999
Buy,373,2589.96,2021-10-06 10:30:00,966055.08,1323.4299999999348
Sell,373,2575.99,2021-10-06 10:45:00,960844.2699999999,962167.6999999998
Buy,374,2566.84,2021-10-06 11:15:00,959998.16,2169.5399999998044
Sell,374,2569.57,2021-10-06 11:30:00,961019.18,963188.7199999999
Buy,374,2569.57,2021-10-06 11:30:00,961019.18,2169.5399999998044
Sell,374,2565.25,2021-10-06 11:45:00,959403.5,961573.0399999998
Buy,374,2565.25,2021-10-06 11:45:00,959403.5,2169.5399999998044
Sell,374,2554.22,2021-10-06 12:00:00,955278.2799999999,957447.8199999997
Buy,374,2554.22,2021-10-06 12:00:00,955278.2799999999,2169.5399999998044
Sell,374,2534.99,2021-10-06 12:15:00,948086.2599999999,950255.7999999997
Buy,373,2543.8,2021-10-06 12:30:00,948837.4,1418.399999999674
Sell,373,2555.94,2021-10-06 12:45:00,953365.62,954784.0199999997
Buy,373,2555.94,2021-10-06 12:45:00,953365.62,1418.399999999674
Sell,373,2534.5,2021-10-06 13:15:00,945368.5,946786.8999999997
Buy,373,2534.5,2021-10-06 13:15:00,945368.5,1418.399999999674
Sell,373,2536.67,2021-10-06 13:30:00,946177.91,947596.3099999997
Buy,373,2536.67,2021-10-06 13:30:00,946177.91,1418.399999999674
Sell,373,2544.1,2021-10-06 13:45:00,948949.2999999999,950367.6999999996
Buy,375,2531.72,2021-10-06 14:00:00,949394.9999999999,972.6999999997206
Sell,375,2521.19,2021-10-06 14:15:00,945446.25,946418.9499999997
Buy,375,2521.19,2021-10-06 14:15:00,945446.25,972.6999999997206
Sell,375,2515.55,2021-10-06 14:30:00,943331.2500000001,944303.9499999998
Buy,374,2521.63,2021-10-06 14:45:00,943089.62,1214.3299999998417
Sell,374,2518.0,2021-10-06 15:00:00,941732.0,942946.3299999998
Buy,374,2518.0,2021-10-06 15:00:00,941732.0,1214.3299999998417
Sell,374,2511.75,2021-10-06 15:45:00,939394.5,940608.8299999998
Buy,377,2489.73,2021-10-06 16:00:00,938628.21,1980.619999999879
Sell,377,2480.77,2021-10-06 16:15:00,935250.29,937230.9099999999
Buy,358,2613.15,2021-10-06 16:30:00,935507.7000000001,1723.2099999998463
Sell,358,2479.62,2021-10-06 16:45:00,887703.96,889427.1699999998
Buy,360,2464.69,2021-10-06 17:45:00,887288.4,2138.769999999786
Sell,360,2613.15,2021-10-06 18:00:00,940734.0,942872.7699999998
Buy,360,2613.15,2021-10-06 18:00:00,940734.0,2138.769999999786
Sell,360,2470.5,2021-10-06 18:15:00,889380.0,891518.7699999998
Buy,361,2468.95,2021-10-06 18:30:00,891290.95,227.81999999983236
Sell,361,2473.04,2021-10-06 18:45:00,892767.44,892995.2599999998
Buy,361,2473.04,2021-10-06 18:45:00,892767.44,227.81999999983236
