Action,Quantity,Price,Time,Portfolio Value,Remaining Balance
Buy,210,4750.45,2021-10-11 00:00:00,997594.5,2405.5
Sell,210,4754.49,2021-10-11 00:15:00,998442.8999999999,1000848.3999999999
Buy,210,4754.49,2021-10-11 00:15:00,998442.8999999999,2405.5
Sell,210,4722.65,2021-10-11 00:30:00,991756.4999999999,994161.9999999999
Buy,210,4722.65,2021-10-11 00:30:00,991756.4999999999,2405.5
Sell,210,4724.01,2021-10-11 00:45:00,992042.1000000001,994447.6000000001
Buy,210,4724.01,2021-10-11 00:45:00,992042.1000000001,2405.5
Sell,210,4738.12,2021-10-11 01:00:00,995005.2,997410.7
Buy,210,4738.12,2021-10-11 01:00:00,995005.2,2405.5
Sell,210,4744.99,2021-10-11 01:15:00,996447.8999999999,998853.3999999999
Buy,210,4744.99,2021-10-11 01:15:00,996447.8999999999,2405.5
Sell,210,4744.15,2021-10-11 01:30:00,996271.4999999999,998676.9999999999
Buy,210,4744.15,2021-10-11 01:30:00,996271.4999999999,2405.5
Sell,210,4733.59,2021-10-11 01:45:00,994053.9,996459.4
Buy,210,4733.59,2021-10-11 01:45:00,994053.9,2405.5
Sell,210,4746.99,2021-10-11 02:00:00,996867.8999999999,999273.3999999999
Buy,210,4746.99,2021-10-11 02:00:00,996867.8999999999,2405.5
Sell,210,4750.79,2021-10-11 02:15:00,997665.9,1000071.4
Buy,210,4750.79,2021-10-11 02:15:00,997665.9,2405.5
Sell,210,4733.94,2021-10-11 02:30:00,994127.3999999999,996532.8999999999
Buy,210,4733.94,2021-10-11 02:30:00,994127.3999999999,2405.5
Sell,210,4740.82,2021-10-11 02:45:00,995572.2,997977.7
Buy,210,4740.82,2021-10-11 02:45:00,995572.2,2405.5
Sell,210,4722.29,2021-10-11 03:00:00,991680.9,994086.4
Buy,210,4722.29,2021-10-11 03:00:00,991680.9,2405.5
Sell,210,4695.63,2021-10-11 03:15:00,986082.3,988487.8
Buy,210,4695.63,2021-10-11 03:15:00,986082.3,2405.5
Sell,210,4684.89,2021-10-11 03:30:00,983826.9,986232.4
Buy,210,4684.89,2021-10-11 03:30:00,983826.9,2405.5
Sell,210,4695.28,2021-10-11 03:45:00,986008.7999999999,988414.2999999999
Buy,210,4695.28,2021-10-11 03:45:00,986008.7999999999,2405.5
Sell,210,4683.13,2021-10-11 04:00:00,983457.3,985862.8
Buy,210,4683.13,2021-10-11 04:00:00,983457.3,2405.5
Sell,210,4699.21,2021-10-11 04:15:00,986834.1,989239.6
Buy,210,4699.21,2021-10-11 04:15:00,986834.1,2405.5
Sell,210,4713.35,2021-10-11 04:30:00,989803.5000000001,992209.0000000001
Buy,210,4713.35,2021-10-11 04:30:00,989803.5000000001,2405.5
Sell,210,4716.31,2021-10-11 04:45:00,990425.1000000001,992830.6000000001
Buy,210,4716.31,2021-10-11 04:45:00,990425.1000000001,2405.5
Sell,210,4701.55,2021-10-11 05:00:00,987325.5,989731.0
Buy,210,4701.55,2021-10-11 05:00:00,987325.5,2405.5
Sell,210,4717.64,2021-10-11 05:15:00,990704.4,993109.9
Buy,210,4717.64,2021-10-11 05:15:00,990704.4,2405.5
Sell,210,4706.72,2021-10-11 05:30:00,988411.2000000001,990816.7000000001
Buy,210,4706.72,2021-10-11 05:30:00,988411.2000000001,2405.5
Sell,210,4703.17,2021-10-11 05:45:00,987665.7000000001,990071.2000000001
Buy,210,4703.17,2021-10-11 05:45:00,987665.7000000001,2405.5
Sell,210,4717.87,2021-10-11 06:00:00,990752.7,993158.2
Buy,210,4717.87,2021-10-11 06:00:00,990752.7,2405.5
