symbol;datetime;open;high;low;close;volume;symbol_id
ETHUSDT;2021-01-01 00:00:00;737.18;740;730.44;731.64;46772.61;334
ETHUSDT;2021-01-01 00:15:00;731.7;732.99;730;732.36;20375.178;334
ETHUSDT;2021-01-01 00:30:00;732.36;735.1;732.21;734.18;14593.525;334
ETHUSDT;2021-01-01 00:45:00;734.18;736.35;733.04;734.6;16351.214;334
ETHUSDT;2021-01-01 01:00:00;734.61;744.49;734;744.47;42580.2;334
ETHUSDT;2021-01-01 01:15:00;744.48;744.62;740.9;743.41;32808.023;334
ETHUSDT;2021-01-01 01:30:00;743.39;749.8;741.78;748.32;57527.137;334
ETHUSDT;2021-01-01 01:45:00;748.34;750.4;747.01;749.33;31168.701;334
ETHUSDT;2021-01-01 02:00:00;749.37;750.4;745.11;745.73;24396.367;334
ETHUSDT;2021-01-01 02:15:00;745.74;747.93;745.44;746.35;19551.35;334
ETHUSDT;2021-01-01 02:30:00;746.35;746.77;743.23;745.59;23063.54;334
ETHUSDT;2021-01-01 02:45:00;745.59;748;744.33;745.15;11509.416;334
ETHUSDT;2021-01-01 03:00:00;745.15;746.86;744.29;745.19;9776.539;334
ETHUSDT;2021-01-01 03:15:00;745.19;746.51;744.39;746.35;7720.746;334
ETHUSDT;2021-01-01 03:30:00;746.34;748.44;745.21;746.75;15086.407;334
ETHUSDT;2021-01-01 03:45:00;746.75;747.96;745.7;745.88;7710.874;334
ETHUSDT;2021-01-01 04:00:00;745.9;747.45;744.6;745.41;10369.702;334
ETHUSDT;2021-01-01 04:15:00;745.42;748.04;745.3;746.37;12433.156;334
ETHUSDT;2021-01-01 04:30:00;746.37;747.17;740.41;742.39;26397.914;334
ETHUSDT;2021-01-01 04:45:00;742.53;744.45;742.52;743.4;8865.289;334
ETHUSDT;2021-01-01 05:00:00;743.46;744.32;740.46;743.63;14771.737;334
ETHUSDT;2021-01-01 05:15:00;743.65;743.92;741.31;742.32;9464.765;334
ETHUSDT;2021-01-01 05:30:00;742.32;742.85;740.42;742.07;8611.819;334
ETHUSDT;2021-01-01 05:45:00;742.07;743.22;741;741.61;8300.232;334
ETHUSDT;2021-01-01 06:00:00;741.73;744.09;741.73;742.63;11881.903;334
ETHUSDT;2021-01-01 06:15:00;742.63;743.69;738.12;738.45;20677.73;334
ETHUSDT;2021-01-01 06:30:00;738.48;740.5;737.8;740.25;13747.818;334
ETHUSDT;2021-01-01 06:45:00;740.24;740.88;738.92;740.76;6658.891;334
ETHUSDT;2021-01-01 07:00:00;740.76;741.54;735.1;735.45;36905.055;334
ETHUSDT;2021-01-01 07:15:00;735.43;739.49;735.24;736.81;21199.566;334
